bam,individual
data/N1027_H3_unique.sorted.dedup.bam,N1027
data/N1027_K4_unique.sorted.dedup.bam,N1027
data/N1028_H3_unique.sorted.dedup.bam,N1028
data/N1028_K4_unique.sorted.dedup.bam,N1028
data/N1060_H3_unique.sorted.dedup.bam,N1060
data/N1060_K4_unique.sorted.dedup.bam,N1060
data/N1069_H3_unique.sorted.dedup.bam,N1069
data/N1069_K4_unique.sorted.dedup.bam,N1069
data/N1097_H3_unique.sorted.dedup.bam,N1097
data/N1097_K4_unique.sorted.dedup.bam,N1097
data/N402_H3_unique.sorted.dedup.bam,N402
data/N402_K4_unique.sorted.dedup.bam,N402
data/N403_H3_unique.sorted.dedup.bam,N403
data/N403_K4_unique.sorted.dedup.bam,N403
data/N418_H3_unique.sorted.dedup.bam,N418
data/N418_K4_unique.sorted.dedup.bam,N418
data/N466_H3_unique.sorted.dedup.bam,N466
data/N466_K4_unique.sorted.dedup.bam,N466
data/N475_H3_unique.sorted.dedup.bam,N475
data/N475_K4_unique.sorted.dedup.bam,N475
data/N554_H3_unique.sorted.dedup.bam,N554
data/N554_K4_unique.sorted.dedup.bam,N554
data/N571_H3_unique.sorted.dedup.bam,N571
data/N571_K4_unique.sorted.dedup.bam,N571
data/N602_H3_unique.sorted.dedup.bam,N602
data/N602_K4_unique.sorted.dedup.bam,N602
data/N613_H3_unique.sorted.dedup.bam,N613
data/N613_K4_unique.sorted.dedup.bam,N613
data/N632_H3_unique.sorted.dedup.bam,N632
data/N632_K4_unique.sorted.dedup.bam,N632
data/N847_H3_unique.sorted.dedup.bam,N847
data/N847_K4_unique.sorted.dedup.bam,N847
data/N958_H3_unique.sorted.dedup.bam,N958
data/N958_K4_unique.sorted.dedup.bam,N958
